epoch 230, train loss 0.8719, test loss 1.052, test acc 0.9153
epoch 231, train loss 0.8722, test loss 1.052, test acc 0.9128
epoch 232, train loss 0.8717, test loss 1.052, test acc 0.9138
epoch 233, train loss 0.873, test loss 1.05, test acc 0.9146
epoch 234, train loss 0.8727, test loss 1.042, test acc 0.9212
epoch 235, train loss 0.872, test loss 1.042, test acc 0.9201
epoch 236, train loss 0.8721, test loss 1.047, test acc 0.9174
epoch 237, train loss 0.8716, test loss 1.044, test acc 0.9189
epoch 238, train loss 0.8723, test loss 1.045, test acc 0.9165
epoch 239, train loss 0.8723, test loss 1.045, test acc 0.9171
epoch 240, train loss 0.8726, test loss 1.046, test acc 0.9159
epoch 241, train loss 0.8726, test loss 1.05, test acc 0.9161
epoch 242, train loss 0.8728, test loss 1.043, test acc 0.9192
epoch 243, train loss 0.8733, test loss 1.044, test acc 0.9177
epoch 244, train loss 0.8723, test loss 1.047, test acc 0.9161
epoch 245, train loss 0.8722, test loss 1.039, test acc 0.9189
epoch 246, train loss 0.8713, test loss 1.041, test acc 0.92
epoch 247, train loss 0.8724, test loss 1.04, test acc 0.9193
epoch 248, train loss 0.8719, test loss 1.047, test acc 0.9161
epoch 249, train loss 0.8724, test loss 1.042, test acc 0.9187
epoch 250, train loss 0.872, test loss 1.048, test acc 0.9165
epoch 251, train loss 0.8724, test loss 1.048, test acc 0.916
epoch 252, train loss 0.8717, test loss 1.041, test acc 0.9177
epoch 253, train loss 0.8719, test loss 1.045, test acc 0.9163
epoch 254, train loss 0.8716, test loss 1.046, test acc 0.9145
epoch 255, train loss 0.872, test loss 1.045, test acc 0.9176
epoch 256, train loss 0.8719, test loss 1.05, test acc 0.9141
epoch 257, train loss 0.8721, test loss 1.043, test acc 0.9175
epoch 258, train loss 0.8724, test loss 1.053, test acc 0.9122
epoch 259, train loss 0.8715, test loss 1.039, test acc 0.9204
epoch 260, train loss 0.8718, test loss 1.048, test acc 0.9162
epoch 261, train loss 0.8718, test loss 1.043, test acc 0.9202
epoch 262, train loss 0.8725, test loss 1.05, test acc 0.9152
epoch 263, train loss 0.8711, test loss 1.046, test acc 0.9174
epoch 264, train loss 0.8714, test loss 1.042, test acc 0.9197
epoch 265, train loss 0.872, test loss 1.037, test acc 0.9219
epoch 266, train loss 0.8716, test loss 1.041, test acc 0.9181
epoch 267, train loss 0.8727, test loss 1.044, test acc 0.9174
epoch 268, train loss 0.8723, test loss 1.044, test acc 0.9159
epoch 269, train loss 0.8714, test loss 1.042, test acc 0.9199
epoch 270, train loss 0.8711, test loss 1.043, test acc 0.9189
epoch 271, train loss 0.8708, test loss 1.043, test acc 0.9185
epoch 272, train loss 0.8712, test loss 1.04, test acc 0.9198
epoch 273, train loss 0.8713, test loss 1.039, test acc 0.9204
epoch 274, train loss 0.8713, test loss 1.046, test acc 0.9181
epoch 275, train loss 0.8719, test loss 1.046, test acc 0.9187
